Task: 1, Test Name: should hide filters, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show sort and filter options, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: failed
Task: 1, Test Name: should show product options, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: failed
Task: 1, Test Name: should show footer collapsibles expanded, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should always show logo, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show banner, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air x Night product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air x Night promo details, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG promo details, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli ACG React Terra product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli ACG React Terra, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Zoom Alpha product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Zoom Alpha, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air Alpha product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Alpha, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air 98 product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 98, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Air 720 product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 720, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Okwahn II product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli Okwahn II promo details, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should show Appli 720 product and price, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should not show promo for Appli 720, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show footer bottom row, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: passed
Task: 1, Test Name: should always show logo, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should always show banner, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air x Night product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air x Night promo details, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Wildwood ACG promo details, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli ACG React Terra product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli ACG React Terra, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Zoom Alpha product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Zoom Alpha, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air Alpha product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli Air Alpha, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air 98 product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 98, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Air 720 product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli Air 720, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Okwahn II product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli Okwahn II promo details, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should show Appli 720 product and price, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should not show promo for Appli 720, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
Task: 1, Test Name: should always show footer bottom row, Browser: edge, Viewport: 768 x 700, Device: tablet, Status: passed
